PMID,CONSORT_item,is_reported
1289923,12b,N
1290169,3a,N
1290169,3b,N
1290169,4a,N
1290169,4b,N
1290169,5,Y
1290169,6a,Y
1290169,6b,N
1290169,7a,N
1290169,7b,N
1290169,8a,N
1290169,8b,N
1290169,9,N
1290169,10,N
1290169,11a,N
1290169,11b,N
1290169,12a,Y
1290169,12b,N
1290769,3a,N
1290769,3b,N
1290769,4a,N
1290769,4b,N
1290769,5,Y
1290769,6a,Y
1290769,6b,N
1290769,7a,N
1290769,7b,N
1290769,8a,Y
1290769,8b,N
1290769,9,N
1290769,10,Y
1290769,11a,Y
1290769,11b,N
1290769,12a,N
1290769,12b,N
1294196,3a,Y
1294196,3b,N
1294196,4a,N
1294196,4b,Y
1294196,5,Y
1294196,6a,Y
1294196,6b,N
1294196,7a,N
1294196,7b,N
1294196,8a,Y
1294196,8b,N
1294196,9,N
1294196,10,N
1294196,11a,N
1294196,11b,N
1294196,12a,N
1294196,12b,N
1294401,3a,Y
1294401,3b,N
1294401,4a,Y
1294401,4b,Y
1294401,5,Y
1294401,6a,Y
1294401,6b,N
1294401,7a,Y
1294401,7b,Y
1294401,8a,Y
1294401,8b,Y
1294401,9,Y
1294401,10,N
1294401,11a,N
1294401,11b,Y
1294401,12a,Y
1294401,12b,N
1294411,3a,N
1294411,3b,N
1294411,4a,Y
1294411,4b,Y
1294411,5,Y
1294411,6a,Y
1294411,6b,N
1294411,7a,N
1294411,7b,N
1294411,8a,N
1294411,8b,N
1294411,9,N
1294411,10,N
1294411,11a,Y
1294411,11b,N
1294411,12a,Y
1294411,12b,N
1295525,3a,N
1295525,3b,N
1295525,4a,N
1295525,4b,N
1295525,5,Y
1295525,6a,Y
1295525,6b,N
1295525,7a,N
1295525,7b,N
1295525,8a,N
1295525,8b,N
1295525,9,N
1295525,10,N
1295525,11a,N
1295525,11b,N
1295525,12a,Y
1295525,12b,N
1296590,3a,N
1296590,3b,N
1296590,4a,N
1296590,4b,N
1296590,5,Y
1296590,6a,Y
1296590,6b,N
1296590,7a,Y
1296590,7b,Y
1296590,8a,N
1296590,8b,N
1296590,9,N
1296590,10,N
1296590,11a,N
1296590,11b,N
1296590,12a,Y
1296590,12b,N
1298802,3a,N
1298802,3b,N
1298802,4a,N
1298802,4b,N
1298802,5,Y
1298802,6a,Y
1298802,6b,N
1298802,7a,N
1298802,7b,N
1298802,8a,N
1298802,8b,N
1298802,9,N
1298802,10,N
1298802,11a,N
1298802,11b,N
1298802,12a,N
1298802,12b,N
1298950,3a,N
1298950,3b,N
1298950,4a,Y
1298950,4b,N
1298950,5,Y
1298950,6a,Y
1298950,6b,N
1298950,7a,N
1298950,7b,N
1298950,8a,N
1298950,8b,N
1298950,9,N
1298950,10,N
1298950,11a,Y
1298950,11b,N
1298950,12a,N
1298950,12b,N
12000000,3a,Y
