PMID,CONSORT_item,is_reported
2642453,10,N
2642453,11a,N
2642453,11b,N
2642453,12a,Y
2642453,12b,N
2642455,3a,N
2642455,3b,N
2642455,4a,Y
2642455,4b,N
2642455,5,N
2642455,6a,N
2642455,6b,N
2642455,7a,N
2642455,7b,N
2642455,8a,N
2642455,8b,N
2642455,9,N
2642455,10,N
2642455,11a,N
2642455,11b,N
2642455,12a,Y
2642455,12b,N
2642536,3a,Y
2642536,3b,N
2642536,4a,Y
2642536,4b,N
2642536,5,Y
2642536,6a,Y
2642536,6b,N
2642536,7a,N
2642536,7b,Y
2642536,8a,Y
2642536,8b,Y
2642536,9,Y
2642536,10,Y
2642536,11a,N
2642536,11b,N
2642536,12a,Y
2642536,12b,N
2642538,3a,N
2642538,3b,N
2642538,4a,N
2642538,4b,N
2642538,5,N
2642538,6a,Y
2642538,6b,N
2642538,7a,N
2642538,7b,N
2642538,8a,N
2642538,8b,N
2642538,9,N
2642538,10,N
2642538,11a,N
2642538,11b,N
2642538,12a,Y
2642538,12b,N
2642543,3a,N
2642543,3b,N
2642543,4a,Y
2642543,4b,N
2642543,5,Y
2642543,6a,Y
2642543,6b,N
2642543,7a,Y
2642543,7b,N
2642543,8a,Y
2642543,8b,Y
2642543,9,N
2642543,10,N
2642543,11a,N
2642543,11b,N
2642543,12a,Y
2642543,12b,N
2642633,3a,Y
2642633,3b,N
2642633,4a,Y
2642633,4b,N
2642633,5,Y
2642633,6a,Y
2642633,6b,N
2642633,7a,N
2642633,7b,N
2642633,8a,N
2642633,8b,N
2642633,9,N
2642633,10,N
2642633,11a,N
2642633,11b,N
2642633,12a,Y
2642633,12b,N
2642658,3a,Y
2642658,3b,N
2642658,4a,Y
2642658,4b,Y
2642658,5,Y
2642658,6a,Y
2642658,6b,N
2642658,7a,N
2642658,7b,N
2642658,8a,N
2642658,8b,Y
2642658,9,N
2642658,10,N
2642658,11a,N
2642658,11b,N
2642658,12a,Y
2642658,12b,N
2643074,3a,Y
2643074,3b,N
2643074,4a,Y
2643074,4b,Y
2643074,5,Y
2643074,6a,Y
2643074,6b,N
2643074,7a,N
2643074,7b,N
2643074,8a,N
2643074,8b,N
2643074,9,Y
2643074,10,N
2643074,11a,Y
2643074,11b,Y
2643074,12a,N
2643074,12b,N
2643284,3a,Y
2643284,3b,N
2643284,4a,N
2643284,4b,N
2643284,5,Y
2643284,6a,Y
2643284,6b,N
2643284,7a,N
2643284,7b,N
2643284,8a,N
2643284,8b,N
2643284,9,N
2643284,10,N
2643284,11a,N
2643284,11b,N
2643284,12a,N
2643284,12b,N
2643592,3a,N
2643592,3b,N
2643592,4a,Y
2643592,4b,N
